test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,0,1,32,131072,3,2,16,0.369072,2361888.000000,0.191643,1197744.000000,0,0,16.000000,4.911616
ofs-update,0,1,0,1,32,131072,3,2,128,0.186740,13342816.000000,0.209587,7021808.000000,0,0,128.000000,4.911616
ofs-update,0,1,0,1,32,131072,3,2,1024,0.185806,13340416.000000,0.180284,13322176.000000,0,0,1024.000000,4.911616
ofs-update,0,1,0,1,32,131072,3,2,4096,0.176496,13346896.000000,0.181888,13322176.000000,0,0,4096.000000,4.911616
ofs-update,0,1,0,1,32,1048576,3,2,0,0,0,0,0,21.052827,1179423360.000000,0,31.442301
ofs-update,0,1,0,1,32,1048576,3,2,16,0.533075,4068736.000000,0.271551,1984928.000000,0,0,16.000000,31.442301
ofs-update,0,1,0,1,32,1048576,3,2,128,0.660046,41163600.000000,0.547248,4110736.000000,0,0,128.000000,31.442301
ofs-update,0,1,0,1,32,1048576,3,2,1024,0.610082,75753328.000000,0.382969,38339024.000000,0,0,1024.000000,31.442301
ofs-update,0,1,0,1,32,1048576,3,2,4096,0.588947,75752848.000000,0.370568,38428784.000000,0,0,4096.000000,31.442301
ofs-update,0,1,0,1,32,8388608,3,2,0,0,0,0,0,161.078835,9415240320.000000,0,174.563992
ofs-update,0,1,0,1,32,8388608,3,2,16,0.703829,6604384.000000,0.397921,3242672.000000,0,0,16.000000,174.563992
ofs-update,0,1,0,1,32,8388608,3,2,128,0.972791,9362256.000000,0.457908,4014992.000000,0,0,128.000000,174.563992
ofs-update,0,1,0,1,32,8388608,3,2,1024,1.436440,338825552.000000,1.016766,170077456.000000,0,0,1024.000000,174.563992
ofs-update,0,1,0,1,32,8388608,3,2,4096,1.414228,338768192.000000,0.865981,170148256.000000,0,0,4096.000000,174.563992
ofs-update,0,1,0,1,32,32,3,2,0,0,0,0,0,0.005214,14880.000000,0,0.117385
ofs-update,0,1,0,1,32,32,3,2,16,0.008122,27856.000000,0.010523,21248.000000,0,0,16.000000,0.117385
